gene,RNA.auc,RNA.pval,motif.feature,motif.auc,motif.pval,avg_auc,celltype
Ebf4,0.5482330524697495,5.738183177590856e-7,MA2122.1,0.8351041886168631,2.4957387193334438e-95,0.6916686205433062,Astrocytes
Sox3,0.5484741954727441,4.7605715356035766e-30,MA0514.3,0.7687023093337924,5.81229825103611e-62,0.6585882524032682,Astrocytes
Jun,0.6313962254071236,3.1799811014645223e-24,MA0489.3,0.6474578333635072,7.818127946650299e-20,0.6394270293853154,Astrocytes
Foxo1,0.5649301649863328,5.9019978481844646e-18,MA0480.3,0.7038934578274276,1.9950528648660438e-36,0.6344118114068802,Astrocytes
Lef1,0.573634685415968,9.501408656703606e-28,MA0768.3,0.6946402443186709,2.3994237559716563e-33,0.6341374648673195,Astrocytes
Gli1,0.5508199604080288,1.0027412574609614e-56,MA1990.2,0.7051474014429997,7.441901458349537e-37,0.6279836809255143,Astrocytes
Ppara,0.543626108144846,2.8646291021817193e-37,MA2338.1,0.6971555513345224,3.604138243873029e-34,0.6203908297396843,Astrocytes
Nfatc1,0.537760768333546,4.265582610443894e-37,MA0624.3,0.6737839714842834,6.384078499794774e-27,0.6057723699089147,Astrocytes
Erg,0.5158853880695797,3.862268879759369e-10,MA0474.4,0.605179158121548,7.923279263858159e-11,0.5605322730955639,Astrocytes
Stat5b,0.5682686971154844,1.2012489532254742e-18,MA1625.2,0.5507587471841917,0.0017020166944853128,0.5595137221498381,Astrocytes
Sox6,0.7634297547706751,1.5893612892071862e-53,MA0515.1,0.8339276223986763,1.8113247825606152e-54,0.7986786885846757,Oligodendrocytes
Tcf12,0.6891298770319058,7.812053849058305e-19,MA0521.3,0.875383866229982,2.3762167810426476e-68,0.7822568716309439,Oligodendrocytes
Olig2,0.6333995690749773,8.794551494804454e-135,MA1997.2,0.875383866229982,2.3762167810426476e-68,0.7543917176524797,Oligodendrocytes
Zfx,0.5738574334566418,3.692787232429972e-6,MA0146.3,0.8389398092515361,4.626044981210502e-56,0.7063986213540889,Oligodendrocytes
Sox3,0.5402611206668604,1.0677438390369868e-12,MA0514.3,0.8681136427301692,8.45090814355034e-66,0.7041873816985148,Oligodendrocytes
Dlx2,0.6065943833138291,4.926481760773076e-25,MA0885.3,0.7270315130285442,4.260367893704787e-26,0.6668129481711866,Oligodendrocytes
Arx,0.6089388144064047,9.965199000671807e-16,MA0874.2,0.7241844233432556,1.7342210096549685e-25,0.6665616188748302,Oligodendrocytes
Gli2,0.6712874605007213,4.307870367884247e-45,MA0734.4,0.6531092837376855,1.0331909355024114e-12,0.6621983721192034,Oligodendrocytes
Dlx5,0.5554050197790921,5.162419082338051e-9,MA1476.3,0.7230914027054551,2.959024926197357e-25,0.6392482112422736,Oligodendrocytes
Sox1,0.5844165364204948,1.7058108217557527e-19,MA0870.1,0.604355327264778,1.1924054013173009e-6,0.5943859318426364,Oligodendrocytes
Zic3,0.5371816822831172,5.414145571422693e-8,MA0697.3,0.6353198819799513,3.014060849075797e-10,0.5862507821315343,Oligodendrocytes
Gli1,0.5319430372621862,5.888404064705406e-14,MA1990.2,0.635825158586168,2.5891838281559526e-10,0.5838840979241771,Oligodendrocytes
Smad4,0.581032753966945,7.145610755334474e-5,MA1153.2,0.575656663237069,4.2960394154246614e-4,0.578344708602007,Oligodendrocytes
Zic2,0.9337866857551896,6.350603844976156e-142,MA1629.2,0.9162550703889286,1.133200925148957e-19,0.9250208780720591,Cajal cells
Lhx1,0.9368319016941065,0,MA1518.3,0.8975781436411358,4.39240601143672e-18,0.9172050226676212,Cajal cells
Ebf2,0.7107432593653066,2.0524403845379074e-183,MA1604.2,0.9531138153185398,5.1365085082170386e-23,0.8319285373419232,Cajal cells
Foxo3,0.744682056788356,2.008736875656579e-14,MA0157.4,0.7254175614411835,8.896162505363745e-7,0.7350498091147697,Cajal cells
Nfe2l2,0.5816750178954904,5.910011207116055e-8,MA0150.3,0.8229360534478645,1.9120295207437745e-12,0.7023055356716774,Cajal cells
Foxo1,0.5730583392984968,6.118488031050183e-4,MA0480.3,0.7254175614411835,8.896162505363745e-7,0.6492379503698402,Cajal cells
Ar,0.5237950369840133,1.7863245026336046e-8,MA0007.4,0.6501282510140778,0.0010637159507291196,0.5869616439990455,Cajal cells
Erg,0.6361574625877368,4.040966508933694e-72,MA0474.4,0.9911402463249901,2.8892183701181302e-24,0.8136488544563634,Microglial cells
Jun,0.697126208449212,3.4100439354680953e-7,MA0489.3,0.8865779366971263,1.2482219195816768e-15,0.7918520725731691,Microglial cells
Spi1,0.5972222222222222,1.2027656662347628e-179,MA0080.7,0.9451595815123824,3.205097326170914e-20,0.7711909018673023,Microglial cells
Nr1h3,0.5415507879751026,1.1062957985805035e-58,MA2337.1,0.9540127135478744,5.718150952767134e-21,0.7477817507614886,Microglial cells
Creb3l2,0.669732485763475,3.2785444286805074e-19,MA0608.1,0.8103363792875116,1.3458979677631067e-10,0.7400344325254933,Microglial cells
Atf3,0.5694444444444444,7.802875230143463e-129,MA1988.2,0.9051185273473712,5.1476122929954464e-17,0.7372814858959078,Microglial cells
Runx1,0.6523308171103165,3.3146265273970995e-193,MA0002.3,0.8049596079989405,2.7790409506264134e-10,0.7286452125546286,Microglial cells
Foxo1,0.6637167262614223,3.154334029021079e-13,MA0480.3,0.773328036021719,1.5488805991524838e-8,0.7185223811415706,Microglial cells
Foxo3,0.6446629585485366,1.7640564555064085e-5,MA0157.4,0.773328036021719,1.5488805991524838e-8,0.7089954972851278,Microglial cells
Nfe2l2,0.7096079989405377,8.087264497427975e-40,MA0150.3,0.7059263673685604,2.032600005639862e-5,0.7077671831545491,Microglial cells
Ppara,0.5346146205800556,7.044553294305885e-4,MA2338.1,0.869739107402993,1.9919501706911245e-14,0.7021768639915242,Microglial cells
Zic2,0.617696331611707,6.508122976764507e-11,MA1629.2,0.6905575420474109,8.038687944149334e-5,0.654126936829559,Microglial cells
Stat5b,0.5827936697126208,3.458503616433143e-4,MA1625.2,0.7222420871407761,4.247082112232941e-6,0.6525178784266985,Microglial cells
Mecom,0.6360813137332804,2.4357567387355294e-63,MA0029.2,0.6506025691961329,0.00183052981232307,0.6433419414647066,Microglial cells
Tfcp2l1,0.5136571315057609,8.879582818737808e-10,MA0145.2,0.6784068335319825,2.226704072212525e-4,0.5960319825188717,Microglial cells
Sox6,0.7225663194471177,1.861602348351743e-39,MA0515.1,0.7909728049847691,1.3691872831742573e-42,0.7567695622159434,Immature dentate Granule Cells
Tcf12,0.6468529539324602,3.638517787894202e-12,MA0521.3,0.8366868377358103,2.019162191227502e-56,0.7417698958341352,Immature dentate Granule Cells
Zic3,0.525102844223401,2.0922477962810737e-4,MA0697.3,0.8382683162803112,6.17928887992977e-57,0.6816855802518561,Immature dentate Granule Cells
Lef1,0.603707781259383,1.3904696880236863e-31,MA0768.3,0.7114953280621659,2.7295113445313056e-23,0.6576015546607744,Immature dentate Granule Cells
Zic2,0.5392944488499154,7.278873347999171e-7,MA1629.2,0.7123916061662907,1.7863883948453547e-23,0.6258430275081031,Immature dentate Granule Cells
Foxo3,0.5885056984553477,2.426034612616042e-9,MA0157.4,0.6486063741605012,2.8326911812892473e-12,0.6185560363079244,Immature dentate Granule Cells
Gli2,0.6213805634041374,6.3989588362384555e-24,MA0734.4,0.5607813851314071,0.0042735239002027765,0.5910809742677723,Immature dentate Granule Cells
Ebf4,0.5458346485588977,3.027632817026329e-4,MA2122.1,0.635316821799126,2.0036914928198276e-10,0.5905757351790119,Immature dentate Granule Cells
Smad4,0.5652358295672972,0.00124122240738069,MA1153.2,0.5662103796318395,0.001855455326240309,0.5657231045995683,Immature dentate Granule Cells
Rxra,0.5267959565475137,4.652712146478268e-7,MA0512.2,0.5716368078384877,7.584377652458022e-4,0.5492163821930007,Immature dentate Granule Cells
