celltype,gene
Smooth Muscle,MYLK;MYL9;MYO1E;ARHGAP6;RHOJ;C1QTNF7;LIMD1;LTBP1;PDE3A;GM13861;RNF152;FLNA;DES;AOC3;ADAMTS1;ARHGAP10;RASGRP2;MYH11;BGN;SNTB1;SLC38A11;RBPMS;FILIP1L;EBF1;TNS1;EHD2;WNT5B;FOXC1;MAP3K7CL;EDNRA;MYOCD;ANO1;FILIP1;GPER1;AHNAK;NET1;ACTA2;MCAM;NTN4;MUSTN1;PLN;NOTCH3;TAGLN;MYL9
Unc13c Astrocytes,FAM20A;EZR;PHKG1;BMPR1B;FGFR3;SOX9;ACSBG1;NWD1;F3;PRDM16;AQP4;SLC6A11;ST3GAL4;RORB;ACOT11;GLI3;GRIN2C;UNC13;SLC39A12;ACSBG1
VGLUT2 Neurons,NPSR1;GSG1L;GRM4;RXFP1;CHRM2;NREP
Astrocytes,GFAP;SLC1A3;SLC1A2;GLUL;S100B;ALDH1L1;AQP4;IGFBP3;ATP13A4;CBS;SOX9;CD40;CD80;CD86;C5AR1
Cholinergic neurons,CHAT;SLC18A3;ACHE
Dopaminergic neurons,TH;SLC6A3;FOXA2;KCNJ6;NR4A2;LMX1B;DBH;SLC6A2;PPP1R1B
Endothelial cells,PECAM1;VWF;A2M;APOLD1;FLT1;TM4SF1;CD34;MCAM;ENG;PTPRC;VCAM1;CDH5
GABAergic neurons,SLC6A1;GABBR1;GABBR2;GAD2;GAD1;SLC32A1
Glutamatergic neurons,SLC17A7;SLC17A6;GRIN1;GRIN2B;GLS;GLUL;GRIN2A
Immature neurons,DCX;NEUROD1;TBR1;STMN1;NCAM1;TUBB3
Immune system cells,MS4A1;CCR6;CXCR3;CD4;IL2RA;ISG20;TNFRSF8;Trac;Ltb;Cd52
Mature neurons,RBFOX3;MAP2;SYP;DLG4;TUBB3;MAPT;INA;GAP43;NRP1
Microglial cells,P2RY12;ITGAM;CD40;PTPRC;CD68;AIF1;CX3CR1;TMEM119;ADGRE1;C1QA;NOS2;TNF;ISYNA1;CCL4;ADORA3;ADRB2;BHLHE41;BIN1;KLF2;NAV3;RHOB;SALL1;SIGLEC8;SLC1A3;SPRY1;TAL1
Myelinating Schwann cells,SOX10;EGR2;MBP;MPZ
Neural Progenitor cells,CSPG4;RNF5;EOMES;SOX2;SOX1;NES;PAX3;PAX6;OTX2;CNTNAP1;ASCL1;SMARCA4;MSI1;MSI2
Neural stem cells,SOX2;PROM1;NES;SOX9
Neuroblasts,NEUROD1;DCX;DLX2;PROX1;EOMES;TUBB3
Neuroepithelial cells,NES;SOX2;NOTCH1;HES1;HES3;CDH1;OCLN;SOX10
Non myelinating Schwann cells,SOX10;GAP43;NCAM1;NGFR
Oligodendrocyte precursor cells,LHFPL3;MEGF11;PCDH15;PDGFRA;CSPG4;RNF5
Oligodendrocytes,OLIG1;OLIG2;OLIG3;CLDN11;MBP;MOG;MAG;GALC;CNP;SOX10;FA2H;UGT8
Radial glial cells,VIM;NES;PAX6;HES1;HES5;GFAP;SLC1A3;FABP7;TNC;CDH2;SOX2
Schwann precursor cells,SOX10;GAP43;FABP7;MPZ;DHH;NGFR
Serotonergic neurons,TPH1;SLC6A4;FEV;HTR1A;HTR1B
Tanycytes,GPR50;COL23A1
